,power,beta1,beta2,beta3
0:00:00,-0.9377,-0.67449,0,0.67449
1:00:00,-0.9377,-0.67449,0,0.67449
2:00:00,-0.9377,-0.67449,0,0.67449
3:00:00,-0.9377,-0.67449,0,0.67449
4:00:00,0.2339,-0.67449,0,0.67449
5:00:00,0.2339,-0.67449,0,0.67449
6:00:00,0.2339,-0.67449,0,0.67449
7:00:00,0.2339,-0.67449,0,0.67449
8:00:00,1.4021,-0.67449,0,0.67449
9:00:00,1.4021,-0.67449,0,0.67449
10:00:00,1.4021,-0.67449,0,0.67449
11:00:00,1.4021,-0.67449,0,0.67449
12:00:00,1.3709,-0.67449,0,0.67449
13:00:00,1.3709,-0.67449,0,0.67449
14:00:00,1.3709,-0.67449,0,0.67449
15:00:00,1.3709,-0.67449,0,0.67449
16:00:00,0.5434,-0.67449,0,0.67449
17:00:00,0.5434,-0.67449,0,0.67449
18:00:00,0.5434,-0.67449,0,0.67449
19:00:00,0.5434,-0.67449,0,0.67449
20:00:00,0.0901,-0.67449,0,0.67449
21:00:00,0.0901,-0.67449,0,0.67449
22:00:00,0.0901,-0.67449,0,0.67449
23:00:00,0.0901,-0.67449,0,0.67449
